x1,x2,rank_Lambda,nullity_Lambda,active_dim,smith_applicable,lambda1_plus_lambda2
-2.2,-0.5,0,2,0,False,
-2.2,-0.3999999999999999,0,2,0,False,
-2.2,-0.2999999999999998,0,2,0,False,
-2.2,-0.19999999999999973,0,2,0,False,
-2.2,-0.09999999999999964,0,2,0,False,
-2.2,0.0,0,2,0,False,
-2.2,0.10000000000000009,1,1,1,False,-0.36372301241461247
-2.2,0.20000000000000018,1,1,1,False,-0.36372301241461247
-2.2,0.30000000000000027,1,1,1,False,-0.36372301241461247
-2.2,0.40000000000000036,1,1,1,False,-0.36372301241461247
-2.2,0.5,1,1,1,False,-0.36372301241461247
-2.2,0.6000000000000001,1,1,1,False,-0.36372301241461247
-2.2,0.7000000000000002,1,1,1,False,-0.36372301241461247
-2.2,0.8000000000000003,1,1,1,False,-0.36372301241461247
-2.2,0.9000000000000004,1,1,1,False,-0.36372301241461247
-2.2,1.0,1,1,1,False,-0.36372301241461247
-2.2,1.1000000000000005,1,1,1,False,-0.36372301241461247
-2.2,1.2000000000000002,1,1,1,False,-0.36372301241461247
-2.2,1.2999999999999998,1,1,1,False,-0.36372301241461247
-2.2,1.4000000000000004,1,1,1,False,-0.36372301241461247
-2.2,1.5,1,1,1,False,-0.36372301241461247
