x1,x2,rank_Lambda,nullity_Lambda,active_dim,smith_applicable,lambda1_plus_lambda2
-2.8,-2.4,1,1,1,False,-0.7388978575662009
-2.8,-2.3,1,1,1,False,-0.7467180560549733
-2.8,-2.2,1,1,1,False,-0.7564823250039152
-2.8,-2.1,1,1,1,False,-0.7679273257288343
-2.8,-2.0,1,1,1,False,-0.7807622285360695
-2.8,-1.9,1,1,1,False,-0.7946813858072942
-2.8,-1.7999999999999998,1,1,1,False,-0.8093765447858556
-2.8,-1.7,1,1,1,False,-0.8245479128365928
-2.8,-1.5999999999999999,1,1,1,False,-0.8399135647541022
-2.8,-1.5,1,1,1,False,-0.8552168644371247
-2.8,-1.4,1,1,1,False,-0.8702317698672245
-2.8,-1.2999999999999998,1,1,1,False,-0.8847660589728078
-2.8,-1.2,1,1,1,False,-0.8986626369722471
-2.8,-1.0999999999999999,1,1,1,False,-0.9117991960905235
-2.8,-1.0,1,1,1,False,-0.9240865433968181
-2.8,-0.8999999999999999,1,1,1,False,-0.9354659313842715
-2.8,-0.7999999999999998,1,1,1,False,-0.9459057198624166
-2.8,-0.6999999999999997,1,1,1,False,-0.9553976631493377
-2.8,-0.5999999999999996,1,1,1,False,-0.9639530687555186
-2.8,-0.5,1,1,1,False,-0.9715990320902088
-2.8,-0.3999999999999999,1,1,1,False,-0.9783748883829267
-2.8,-0.2999999999999998,1,1,1,False,-0.9843289867916827
-2.8,-0.19999999999999973,1,1,1,False,-0.9895158441519667
-2.8,-0.09999999999999964,1,1,1,False,-0.9939937062608538
-2.8,0.0,1,1,1,False,-0.9978225101181514
-2.8,0.10000000000000009,1,1,1,False,-1.0010622357170538
-2.8,0.20000000000000018,1,1,1,False,-1.0037716116489956
-2.8,0.30000000000000027,1,1,1,False,-1.0060071362269494
-2.8,0.40000000000000036,1,1,1,False,-1.0078223681535268
-2.8,0.5,1,1,1,False,-1.0092674533247359
-2.8,0.6000000000000001,1,1,1,False,-1.010388838203896
-2.8,0.7000000000000002,1,1,1,False,-1.0112291367464499
-2.8,0.8000000000000003,1,1,1,False,-1.0118271184661465
-2.8,0.9000000000000004,1,1,1,False,-1.0122177861171533
-2.8,1.0,1,1,1,False,-1.0124325207361284
-2.8,1.1000000000000005,1,1,1,False,-1.0124992771975982
-2.8,1.2000000000000002,1,1,1,False,-1.0124428029556485
-2.8,1.2999999999999998,1,1,1,False,-1.0122848785876215
-2.8,1.4000000000000004,1,1,1,False,-1.0120445649852705
-2.8,1.5,1,1,1,False,-1.0117384514063408
-2.8,1.6000000000000005,1,1,1,False,-1.0113808922573853
-2.8,1.7000000000000002,1,1,1,False,-1.0109842367156394
-2.8,1.8000000000000007,1,1,1,False,-1.0105590469988712
-2.8,1.9000000000000004,1,1,1,False,-1.0101142979834774
-2.8,2.0,1,1,1,False,-1.0096575630558213
-2.8,2.1000000000000005,1,1,1,False,-1.0091951836432855
-2.8,2.2,1,1,1,False,-1.0087324239793636
-2.8,2.3000000000000007,1,1,1,False,-1.0082736109362498
-2.8,2.4000000000000004,1,1,1,False,-1.0078222559828376
-2.8,2.5,1,1,1,False,-1.007381169593202
-2.8,2.6000000000000005,1,1,1,False,-1.0069525582245828
-2.8,2.7,1,1,1,False,-1.0065381121915349
-2.8,2.8000000000000007,1,1,1,False,-1.0061390818272284
