delta_b,E,energy_type
-2.0,0.33165170155115226,modified
-1.95,0.3137896823768907,modified
-1.9,0.2984276632026293,modified
-1.8499999999999999,0.28556564402836776,modified
-1.7999999999999998,0.2752036248541064,modified
-1.75,0.26734160567984494,modified
-1.7,0.26197958650558345,modified
-1.65,0.259117567331322,modified
-1.5999999999999999,0.25875554815706053,modified
-1.5499999999999998,0.2608935289827991,modified
-1.5,0.2655315098085376,modified
-1.45,0.27266949063427615,modified
-1.4,0.2823074714600147,modified
-1.3499999999999999,0.2944454522857533,modified
-1.2999999999999998,0.30908343311149183,modified
-1.25,0.3262214139372303,modified
-1.2,0.3458593947629689,modified
-1.15,0.36799737558870743,modified
-1.0999999999999999,0.392635356414446,modified
-1.0499999999999998,0.4197733372401846,modified
-1.0,0.44941131806592305,modified
-0.9499999999999997,0.48154929889166176,modified
-0.8999999999999999,0.5161872797174002,modified
-0.8500000000000001,0.5533252605431386,modified
-0.7999999999999998,0.5929632413688773,modified
-0.75,0.6351012221946157,modified
-0.6999999999999997,0.6797392030203545,modified
-0.6499999999999999,0.7268771838460929,modified
-0.5999999999999996,0.7765151646718316,modified
-0.5499999999999998,0.82865314549757,modified
-0.5,0.8832911263233083,modified
-0.44999999999999973,0.9404291071490471,modified
-0.3999999999999999,1.0000670879747855,modified
-0.34999999999999964,1.0622050688005245,modified
-0.2999999999999998,1.1268430496262627,modified
-0.25,1.193981030452001,modified
-0.19999999999999973,1.2636190112777401,modified
-0.1499999999999999,1.3357569921034784,modified
-0.09999999999999964,1.4103949729292173,modified
-0.04999999999999982,1.4875329537549555,modified
0.0,1.567170934580694,modified
0.050000000000000266,1.6493089154064329,modified
0.10000000000000009,1.7339468962321711,modified
0.15000000000000036,1.82108487705791,modified
0.20000000000000018,1.9107228578836484,modified
0.25,2.0028608387093865,modified
0.30000000000000027,2.0974988195351254,modified
0.3500000000000001,2.194636800360864,modified
0.40000000000000036,2.2942747811866027,modified
0.4500000000000002,2.396412762012341,modified
0.5,2.5010507428380793,modified
0.5500000000000003,2.6081887236638184,modified
0.6000000000000001,2.7178267044895565,modified
0.6500000000000004,2.8299646853152955,modified
0.7000000000000002,2.9446026661410336,modified
0.75,3.061740646966772,modified
0.8000000000000003,3.181378627792511,modified
0.8500000000000001,3.3035166086182493,modified
0.9000000000000004,3.4281545894439884,modified
0.9500000000000002,3.5552925702697267,modified
1.0,3.6849305510954644,modified
1.0499999999999998,3.8170685319212025,modified
1.1000000000000005,3.9517065127469433,modified
1.1500000000000004,4.088844493572681,modified
1.2000000000000002,4.228482474398419,modified
1.25,4.370620455224157,modified
1.2999999999999998,4.515258436049895,modified
1.3500000000000005,4.6623964168756356,modified
1.4000000000000004,4.812034397701374,modified
1.4500000000000002,4.9641723785271115,modified
1.5,5.11881035935285,modified
1.5499999999999998,5.275948340178587,modified
1.6000000000000005,5.435586321004329,modified
1.6500000000000004,5.597724301830066,modified
1.7000000000000002,5.762362282655804,modified
1.75,5.929500263481542,modified
1.8000000000000007,6.099138244307283,modified
1.8500000000000005,6.271276225133021,modified
1.9000000000000004,6.445914205958759,modified
1.9500000000000002,6.623052186784497,modified
2.0,6.802690167610235,modified
2.0500000000000007,6.984828148435976,modified
2.1000000000000005,7.169466129261714,modified
2.1500000000000004,7.356604110087452,modified
2.2,7.546242090913189,modified
2.25,7.738380071738928,modified
2.3000000000000007,7.933018052564669,modified
2.3500000000000005,8.130156033390406,modified
2.4000000000000004,8.329794014216148,modified
2.45,8.531931995041882,modified
2.5,8.736569975867623,modified
2.5500000000000007,8.943707956693364,modified
2.6000000000000005,9.153345937519099,modified
2.6500000000000004,9.36548391834484,modified
2.7,9.580121899170575,modified
2.75,9.797259879996316,modified
2.8000000000000007,10.016897860822057,modified
2.8500000000000005,10.239035841647791,modified
2.9000000000000004,10.463673822473533,modified
2.95,10.690811803299267,modified
3.0,10.920449784125008,modified
