c,E,E_minus_E0,y1,y2,energy_type
-0.08000000000000007,0.39949194246521075,-0.003453280469114195,0.21999999999999992,-0.78,modified
0.0,0.40294522293432494,0.0,0.3,-0.7,modified
0.08000000000000007,0.41919850340343917,0.01625328046911423,0.38000000000000006,-0.6199999999999999,modified
0.16000000000000014,0.4482517838725534,0.045306560938228435,0.46000000000000013,-0.5399999999999998,modified
0.2400000000000002,0.4901050643416678,0.08715984140734284,0.5400000000000003,-0.45999999999999974,modified
0.3200000000000003,0.5447583448107821,0.14181312187645717,0.6200000000000003,-0.37999999999999967,modified
0.40000000000000036,0.6122116252798965,0.20926640234557153,0.7000000000000004,-0.2999999999999996,modified
0.4800000000000004,0.6924649057490109,0.28951968281468593,0.7800000000000005,-0.21999999999999953,modified
0.5600000000000005,0.7855181862181253,0.38257296328380036,0.8600000000000005,-0.13999999999999946,modified
0.6399999999999997,0.8913714666872383,0.4884262437529134,0.9399999999999997,-0.060000000000000275,modified
0.7199999999999998,1.0100247471563526,0.6070795242220277,1.0199999999999998,0.019999999999999796,modified
0.7999999999999998,1.141478027625467,0.7385328046911421,1.0999999999999999,0.09999999999999987,modified
0.8799999999999999,1.2857313080945811,0.8827860851602563,1.18,0.17999999999999994,modified
0.96,1.4427845885636956,1.0398393656293707,1.26,0.26,modified
1.04,1.61263786903281,1.2096926460984851,1.34,0.3400000000000001,modified
1.12,1.7952911495019244,1.3923459265675995,1.4200000000000002,0.42000000000000015,modified
1.2000000000000002,1.9907444299710388,1.587799207036714,1.5000000000000002,0.5000000000000002,modified
1.2800000000000002,2.1989977104401532,1.7960524875058284,1.5800000000000003,0.5800000000000003,modified
1.3600000000000003,2.420050990909268,2.0171057679749427,1.6600000000000004,0.6600000000000004,modified
1.4400000000000004,2.653904271378382,2.2509590484440567,1.7400000000000004,0.7400000000000004,modified
1.5200000000000005,2.9005575518474966,2.4976123289131715,1.8200000000000005,0.8200000000000005,modified
1.6000000000000005,3.160010832316611,2.757065609382286,1.9000000000000006,0.9000000000000006,modified
1.6799999999999997,3.4322641127857225,3.0293188898513974,1.9799999999999998,0.9799999999999998,modified
1.7599999999999998,3.7173173932548353,3.3143721703205102,2.0599999999999996,1.0599999999999998,modified
1.8399999999999999,4.01517067372395,3.6122254507896248,2.1399999999999997,1.14,modified
1.92,4.325823954193065,3.9228787312587396,2.2199999999999998,1.22,modified
2.0,4.649277234662179,4.246332011727854,2.3,1.3,modified
2.08,4.985530515131294,4.582585292196969,2.38,1.3800000000000001,modified
2.16,5.334583795600408,4.931638572666083,2.46,1.4600000000000002,modified
2.24,5.696437076069523,5.2934918531351975,2.54,1.5400000000000003,modified
2.3200000000000003,6.071090356538637,5.668145133604312,2.62,1.6200000000000003,modified
2.4000000000000004,6.458543637007752,6.055598414073427,2.7,1.7000000000000004,modified
2.4800000000000004,6.858796917476866,6.455851694542541,2.7800000000000002,1.7800000000000005,modified
2.5600000000000005,7.271850197945981,6.868904975011656,2.8600000000000003,1.8600000000000005,modified
2.6400000000000006,7.697703478415095,7.29475825548077,2.9400000000000004,1.9400000000000006,modified
2.7199999999999998,8.136356758884205,7.733411535949879,3.0199999999999996,2.0199999999999996,modified
2.8,8.58781003935332,8.184864816418996,3.0999999999999996,2.0999999999999996,modified
2.88,9.052063319822434,8.64911809688811,3.1799999999999997,2.1799999999999997,modified
2.96,9.529116600291548,9.126171377357224,3.26,2.26,modified
3.04,10.018969880760663,9.616024657826339,3.34,2.34,modified
3.12,10.521623161229778,10.118677938295454,3.42,2.42,modified
3.2,11.037076441698893,10.63413121876457,3.5,2.5,modified
3.2800000000000002,11.565329722168007,11.162384499233683,3.58,2.58,modified
3.3600000000000003,12.10638300263712,11.703437779702796,3.66,2.66,modified
3.4400000000000004,12.660236283106235,12.25729106017191,3.74,2.74,modified
3.5200000000000005,13.22688956357535,12.823944340641026,3.8200000000000003,2.8200000000000003,modified
3.6000000000000005,13.806342844044464,13.40339762111014,3.9000000000000004,2.9000000000000004,modified
3.6799999999999997,14.398596124513572,13.995650901579248,3.9799999999999995,2.9799999999999995,modified
3.76,15.003649404982687,14.600704182048363,4.06,3.0599999999999996,modified
3.84,15.621502685451802,15.218557462517477,4.14,3.1399999999999997,modified
3.92,16.252155965920917,15.849210742986592,4.22,3.2199999999999998,modified
4.0,16.89560924639003,16.492664023455706,4.3,3.3,modified
