c,E,E_minus_E0,y1,y2,energy_type
-0.35000000000000003,2.194636800360864,0.6274658657801699,-1.35,1.2,modified
-0.4,2.2942747811866018,0.7271038466059079,-1.4,1.2,modified
-0.45,2.396412762012341,0.8292418274316471,-1.45,1.2,modified
-0.5,2.5010507428380793,0.9338798082573854,-1.5,1.2,modified
-0.55,2.6081887236638184,1.0410177890831245,-1.55,1.2,modified
-0.6000000000000001,2.7178267044895565,1.1506557699088626,-1.6,1.2,modified
-0.65,2.8299646853152947,1.2627937507346008,-1.65,1.2,modified
-0.7000000000000001,2.9446026661410336,1.3774317315603397,-1.7000000000000002,1.2,modified
-0.75,3.061740646966772,1.4945697123860782,-1.75,1.2,modified
-0.8,3.181378627792511,1.614207693211817,-1.8,1.2,modified
-0.8500000000000001,3.3035166086182493,1.7363456740375554,-1.85,1.2,modified
-0.9,3.428154589443987,1.8609836548632932,-1.9,1.2,modified
-0.9500000000000001,3.5552925702697267,1.9881216356890328,-1.9500000000000002,1.2,modified
-1.0,3.6849305510954644,2.1177596165147703,-2.0,1.2,modified
-1.05,3.8170685319212025,2.2498975973405084,-2.05,1.2,modified
-1.1,3.951706512746942,2.384535578166248,-2.1,1.2,modified
-1.1500000000000001,4.088844493572681,2.5216735589919876,-2.1500000000000004,1.2,modified
-1.2000000000000002,4.228482474398419,2.661311539817725,-2.2,1.2,modified
-1.25,4.370620455224157,2.803449520643463,-2.25,1.2,modified
-1.3,4.515258436049895,2.9480875014692014,-2.3,1.2,modified
-1.35,4.662396416875634,3.09522548229494,-2.35,1.2,modified
-1.4000000000000001,4.812034397701374,3.24486346312068,-2.4000000000000004,1.2,modified
-1.4500000000000002,4.9641723785271115,3.397001443946418,-2.45,1.2,modified
-1.5,5.11881035935285,3.551639424772156,-2.5,1.2,modified
-1.55,5.275948340178587,3.7087774055978935,-2.55,1.2,modified
-1.6,5.435586321004327,3.8684153864236333,-2.6,1.2,modified
-1.6500000000000001,5.597724301830066,4.0305533672493725,-2.6500000000000004,1.2,modified
-1.7000000000000002,5.762362282655804,4.19519134807511,-2.7,1.2,modified
-1.75,5.929500263481542,4.362329328900849,-2.75,1.2,modified
-1.8,6.09913824430728,4.5319673097265865,-2.8,1.2,modified
-1.85,6.271276225133019,4.7041052905523255,-2.85,1.2,modified
-1.9000000000000001,6.445914205958759,4.878743271378065,-2.9000000000000004,1.2,modified
-1.9500000000000002,6.623052186784497,5.055881252203803,-2.95,1.2,modified
-2.0,6.802690167610235,5.2355192330295415,-3.0,1.2,modified
-2.0500000000000003,6.984828148435974,5.41765721385528,-3.0500000000000003,1.2,modified
-2.1,7.169466129261712,5.602295194681019,-3.1,1.2,modified
-2.15,7.35660411008745,5.7894331755067565,-3.15,1.2,modified
-2.2,7.546242090913189,5.979071156332496,-3.2,1.2,modified
-2.25,7.738380071738928,6.171209137158234,-3.25,1.2,modified
-2.3000000000000003,7.933018052564667,6.365847117983973,-3.3000000000000003,1.2,modified
-2.35,8.130156033390405,6.562985098809711,-3.35,1.2,modified
-2.4000000000000004,8.329794014216148,6.762623079635454,-3.4000000000000004,1.2,modified
-2.45,8.531931995041885,6.964761060461192,-3.45,1.2,modified
-2.5,8.736569975867623,7.169399041286929,-3.5,1.2,modified
-2.5500000000000003,8.94370795669336,7.376537022112667,-3.5500000000000003,1.2,modified
-2.6,9.153345937519099,7.586175002938405,-3.6,1.2,modified
-2.6500000000000004,9.36548391834484,7.798312983764146,-3.6500000000000004,1.2,modified
-2.7,9.580121899170578,8.012950964589884,-3.7,1.2,modified
-2.75,9.797259879996316,8.230088945415622,-3.75,1.2,modified
-2.8000000000000003,10.016897860822054,8.44972692624136,-3.8000000000000003,1.2,modified
-2.85,10.239035841647791,8.671864907067096,-3.85,1.2,modified
-2.9000000000000004,10.463673822473533,8.896502887892838,-3.9000000000000004,1.2,modified
-2.95,10.69081180329927,9.123640868718576,-3.95,1.2,modified
-3.0,10.920449784125008,9.353278849544314,-4.0,1.2,modified
-3.0500000000000003,11.15258776495075,9.585416830370056,-4.050000000000001,1.2,modified
-3.1,11.387225745776483,9.820054811195789,-4.1,1.2,modified
-3.1500000000000004,11.624363726602226,10.057192792021532,-4.15,1.2,modified
-3.2,11.864001707427963,10.296830772847269,-4.2,1.2,modified
-3.25,12.106139688253702,10.538968753673007,-4.25,1.2,modified
-3.3000000000000003,12.350777669079443,10.783606734498749,-4.300000000000001,1.2,modified
-3.35,12.597915649905177,11.030744715324483,-4.35,1.2,modified
-3.4000000000000004,12.84755363073092,11.280382696150225,-4.4,1.2,modified
-3.45,13.099691611556656,11.532520676975961,-4.45,1.2,modified
-3.5,13.354329592382394,11.7871586578017,-4.5,1.2,modified
-3.5500000000000003,13.611467573208136,12.044296638627442,-4.550000000000001,1.2,modified
-3.6,13.87110555403387,12.303934619453175,-4.6,1.2,modified
-3.6500000000000004,14.133243534859611,12.566072600278916,-4.65,1.2,modified
-3.7,14.397881515685349,12.830710581104654,-4.7,1.2,modified
-3.75,14.665019496511087,13.097848561930393,-4.75,1.2,modified
-3.8000000000000003,14.93465747733683,13.367486542756135,-4.800000000000001,1.2,modified
-3.85,15.206795458162562,13.639624523581867,-4.85,1.2,modified
-3.9000000000000004,15.481433438988304,13.91426250440761,-4.9,1.2,modified
-3.95,15.758571419814043,14.191400485233348,-4.95,1.2,modified
-4.0,16.03820940063978,14.471038466059085,-5.0,1.2,modified
